File ID,File Name,Run Metadata ID,Protocol,Study Name,PDC Study ID,PDC Study Version,Study ID,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"01aacf81-30dc-4488-bc53-53bdaf592181","PTRC_exp10_Plex_14_P_f11.raw","PTRC_exp10_Plex_14_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","710653984","c40e7475639ffd2d5c10c6d07ea58ce5","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_14_P_f11.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=HLQi0Hk-EYGjC7rVhBUXdip0zyd83uzi9X167QGKM1Dn-4upEjtobI1MxdS0RbRqPsyB7VucwAr~y7B-RR4n2nt6ngZ1bjj8kPLoEFs0QGv3bf0ugGlrV196PiUNf7R2pAOzFGEsYJnMNfLHt4ekbaadHxSWxz1-BJV7p2UauJmrT1aWpBu9iwP9EFkO1ZmIPzal8poJelBZ2z-~qOxevE1DWy-ZiOCNfMVMYzPph6eVO3IQQuut7~wwf0oSHyzKYAl9CQPP62dNIuCAG1eP6~4o0UJUYxtteFVT5Tca1aslZQ3s~5js8zACC63TxDu2iOSH0W3BsMMLrstYel8acg__"
"02f57e5c-cd3d-4f19-b5d7-ff9be44a439f","PTRC_exp10_Plex_16_P_f04.raw","PTRC_exp10_Plex_16_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","949888756","1cf465f2325d9bce4e2ee96ca032345b","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_16_P_f04.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=G1LfvH3irULpBqGA21u1f5Iqe8YepHDVHY~Nbz~6MYLr8gpCXLxa3yNDwz6Cp-fSz7qfwG9DyibfpLSUBh77fM5PpXWQz0fB7rBxCZwjz~VRjHqL-HV9R3~wAidUPnNaDgCb67rdyP8Gsg34Z9VkjQG~FxPqqvp~4K8TlzcLzb1VgfqX88UbVnV1MmLJsbRS0giveYc0m-cfzElA5f-Ea784lfYyTDUvDt-ljXdKzcKuqlsIcJWdbYI7MAJb12Z7ig-EnxA0zEfqNCxa8-76aNI-7qP9EIu7YQI4OdAG0Ic1DfFsdzd-kyWQTvZ~mi3Pwt7dUve1J9s0WnzKIWcM5g__"
"037336ba-5e50-4929-ab69-4cb2e93b2950","PTRC_exp10_Plex_03_P_f07.raw","PTRC_exp10_Plex_03_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","598387520","38a370a79896807fb7ef3242ce10fcaa","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_03_P_f07.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Jkqgbcj-f~ikjKyAia2ozPPEQoxDSidpArUjvONYPTussmmXrjsawG6IjzlROokQBcGxg1LdSfHnzi87OUz40CKF1vMegeHJpeywpBkpy3SDZ2DMXqLfq15fkj0plOaO8iTQUhIVjZskCMY8oclU34cG5NMacJ~c6hTrv4DCeaR5yTShWI5XM2FEDIUZt3wYU4pL4IJxvwvoY4o-DygRJ8PxQpRbLG2XtPmvhiblATML92~rupb8DeQ2sECFKDqSKcdmRIWFpKQUDrkY2hagsFpC9UzZPq2DgYgbat5Dv28jbg4f66E4MDm5eR9uRRD9iy3D3RqLUMdzOJaL7hM8Eg__"
"045af73a-efdd-4809-999d-c6f8a3a05f2b","PTRC_exp10_Plex_09_P_f09.raw","PTRC_exp10_Plex_09_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","770100202","95bdfc4fd0a6dc741e6149460c97d81f","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_09_P_f09.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Ud5sCjzWejm7p3c1PzbyeFEDS3YWKp8BWVhzNug-CnuMVZEMdFfcURPppj8sJ07OcrjVFXG-bsRM9XbO1SMaOvBgjG8EoWmHccg~knLepX0cf5MiTKUjQgXVs0iw9ChkXg-wrNUV7TH1MKenUeaKGaVxMgEZdRnBZHmR3KBeCNbHJLFBkfB8gyajwMMJdloqyrevqX3rGCF0bxB-sXjbMSxiW2~-ji4TbdIynYZPM9MqNChxQTlfLDtlVhOhemG0gwRi~boVuWYCTN7AQRC7mxY3iMF9qvic7cnthtdD57C1ok3Izcvyexb2LKM4pgT4EiLdaI6w~LU-cv9OU9I6sA__"
"0627f2e7-689f-4962-9316-c3596c894d17","PTRC_exp10_Plex_14_P_f03.raw","PTRC_exp10_Plex_14_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","843641064","2fa8d659976b6b50e42a3337a8b53399","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_14_P_f03.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=XXx6~c-~EzHghOFnl7S0p0OEkbqwCnbHBi~wDnrtRegKO08NMRTDyKgXpG0KzP3hlsq5BgnE0I3V2Ornjtkuy6sE5mCJ3S8I7FuRyxXBxKi5XT1HDe3qknkGH1IJ71JxBGfFEpJDe9C6OcVHSmEo-1w7XQT9NM~np-bpitrIC8SZgLCQnao-11Oiz9w0aII~r~oTjEh158mbGjm1zJo8qvS73hywXpEaMOtQw~0sL9--QlULl1HWcMP9PqZ14-hev7ERPh2jqC4780LJGpI6TtylzXa2gAQrGbih0AsSlxaLa39rdVdr4l0X6sw21a1DxtJQOJTPE3RfSvzzDNzZww__"
"0652d157-f51c-4eb9-a6b4-614579862d43","PTRC_exp10_Plex_04_P_f11.raw","PTRC_exp10_Plex_04_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","578812740","a3ada47da03938bfc78ce24c17c2f91b","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_04_P_f11.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=E1iZ4nCV67K3~xpQ9DM8YOpTAfITRMFXGDa1y40715MG-udjbj8Xbk3otUOxb170IUZVUnZG4091vM~SJEX4Ug2ZI1ImtMpBMNN6YlwbqeTYBbdn8J4zZKtFMqOwsnBbwIpKfbscHcbJsb1e0Z8U7ysIAE4C0ieM1RhGYtzXqg-2~-ryka-Q-NOWKwPJvcVZlT~fZ4Ay24tpjE3J-LVz9wwSyqoVkxQBmoqzpdF-IhityylUOIdBvKSwUzZeNdfqvMAupFiN8A83yx6Rs8IovQqNL~6RMpwy-F7ZfeFi9Tt52Y0CxkRtSzyyVGEO3ue8ScGBUt9tPeyrX0-j9fQtlw__"
"06d984ec-f3e4-4196-a50b-53698680804f","PTRC_exp10_Plex_08_P_f12.raw","PTRC_exp10_Plex_08_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","718759820","3c686ff72aa8ba04fea45875fa333291","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_08_P_f12.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=IjmQpgtWAzZuVhYYjKUdiDj5sSxlgRdziLiP1FWrhCvrR4chz7sVpTL7SjURlGBYKroJiCllZVLI6QMltmhGbcRN~XMi0h1lmdA12EEdElp11J43m2wji8GBzB3aPBlIyzVkkdKOlRSAgS-R6-J5Ow1j0eMoNCwU7F01rUu2zyjwgNWuKbR8bVc6y-lQ99bbyDua3WdPDujnWG5EAXSDxYfDEGH-eBc8Trkod7oNV6UdJ5XuAacCKqhuSb2GjE0Ir0J~NVvI1M9xtMuFJBJzYgq4JXreDuFJDDW0u~tJqXErd~5Hh9gB1J9A0SoD7EbTyml6verkTPgHWS3gJXkJuA__"
"090c5934-6d5c-4441-a2b7-e5ac019c0193","PTRC_exp10_Plex_11_P_f08.raw","PTRC_exp10_Plex_11_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","822777126","ea4cb7edb7baa10866df05570f76cf33","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_11_P_f08.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=c7qG0TAMInOrBCF1MoAe0cOakZruoz6BLO2lnC23y4VyHBm-v80JBp87eRpeTQXbRb0Zs-F~Vjq~-lktMAxG~OW8KoTFfgVfwK3LDHjQaPyM9tUynuucngEVGLyde3j5db9uY-6OKEEGUIxdc2TmC45hQriHUu099ty5tk8lsaUbuTdWEdXPSjTE3RnXd6HNJopi9aqbkRBQSYiveQepBcsNAErYRnRRY-5Ltoj8ZtpOR-f0DrWnHgqFhksaYO9mf9hJL8zYU4inVP-z-k3YqWCzFMthBgZoE5D60MQIF7SUaowz3dUkIOk27e23EyuOCqouLcnS~yQ1gKTt60PqvA__"
"0924e589-5127-484c-803f-3ade93f110a3","PTRC_exp10_Plex_12_P_f05.raw","PTRC_exp10_Plex_12_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","876906088","fa1dbf9b5dcf21d532a992a65c498390","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_12_P_f05.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=GKIg3NOKAl0xtcxuKmAkNEjgsIZX4G3EqelmVo60TJHOlgygVecCsG1denjpwrX6CqCYm948M6dX22c-wOyZKQ1pLiJuPWMTVooIRmiuljXj4EyD~vg66r3PLQToLgeJYO5-PsvpX0U7vNQL38nyxxBs7eF3MJL3riYy-Bx~-iLGwgh~wUyGS~vpBKKAguaQgb6aARK4KXzOh~S4Nsem4~GcbvMRXeva9FCprPM7Yw6ZIJmNmfj9Zy58oh7av4CTaxQZih3q9pyy8Z1ooyZsOuIOj3jAjVTSiKYApDSzoIm-P-qnKPcr5N60-bMzpFxqqgDtwWUsfyJ7iD2~KOnpuQ__"
"0a573537-3251-42c7-9ba3-933bd790e2fc","PTRC_exp10_Plex_05_P_f04.raw","PTRC_exp10_Plex_05_P","Beat AML Baseline Clinical - Phosphoproteome","Beat AML Baseline Clinical - Phosphoproteome","PDC000478","1","6a52970d-b69d-43ab-b88b-1c21eaacd41c","Proteogenomic Translational Research Centers (PTRC)","Raw Mass Spectra","Proprietary","Open","582714420","11d547d7abc733494a004747844928f7","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/148/197/PTRC_exp10_Plex_05_P_f04.raw?Expires=1733933613&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=J1OIRFjhVLC6dT8TNXn~~UxAV9m3KIlgb1N4zci07-faazsw-SMe-2VVfb1cVXcyQl0X1afrd1wvDK6eiBVP4klEJNOiCUvXKEWqW7-u1ss3A1mc5BnMiQEQ52H2-b4GDDin3wLLA3dK0nCh87yEySE-EmPlP1zDHy1GB2I8sGR-yEiLxk0-my9XUcmwOGRs4V3MUdtV6xHHi-rp54pMsknoqEKDs0yhZdh9I8mvW4YHOcBLeTMiRj3E26PWUhLxi-Y1gLjFNYQXwQrFlWPYuhm2bm2MDGQVZ3HASFOL6CSJXL04bJXSDpd3WxhjuRf5K3nEIyiyIPMvaqMV8GTSKQ__"
